Date,Symbol,Signal
2024-11-01 00:00:00-04:00,AAPL,SELL
2024-11-20 00:00:00-05:00,AAPL,BUY
2024-10-28 00:00:00-04:00,TSLA,BUY
2024-10-17 00:00:00-04:00,AMZN,BUY
2024-11-22 00:00:00-05:00,AMZN,SELL
2024-12-02 00:00:00-05:00,AMZN,BUY
2024-10-23 00:00:00-04:00,MSFT,BUY
2024-11-04 00:00:00-05:00,MSFT,SELL
2024-11-12 00:00:00-05:00,MSFT,BUY
2024-11-18 00:00:00-05:00,MSFT,SELL
2024-11-26 00:00:00-05:00,MSFT,BUY
2024-10-16 00:00:00-04:00,GOOGL,BUY
2024-10-22 00:00:00-04:00,GOOGL,SELL
2024-10-28 00:00:00-04:00,GOOGL,BUY
2024-11-21 00:00:00-05:00,GOOGL,SELL
2024-12-09 00:00:00-05:00,GOOGL,BUY
2024-10-21 00:00:00-04:00,META,SELL
2024-11-11 00:00:00-05:00,META,BUY
2024-11-15 00:00:00-05:00,META,SELL
2024-12-02 00:00:00-05:00,META,BUY
2024-10-17 00:00:00-04:00,NFLX,SELL
2024-10-21 00:00:00-04:00,NFLX,BUY
2024-11-04 00:00:00-05:00,NVDA,SELL
2024-11-07 00:00:00-05:00,NVDA,BUY
2024-11-26 00:00:00-05:00,NVDA,SELL
2024-10-17 00:00:00-04:00,BABA,SELL
2024-12-10 00:00:00-05:00,BABA,BUY
2024-10-16 00:00:00-04:00,DIS,BUY
2024-12-12 00:00:00-05:00,DIS,SELL
